id,customer_id,author_id,author_name,content,timestamp,type,created_at,updated_at
50,customer_001,,Legacy User,Mr. Manuel is the Voice contact at 323-408-3860.,2025-06-23 21:00:00,manual,2025-06-23 21:00:00,2025-07-14 14:24:24.340897
1,customer_001,6,Stan Gwin,I spoke with Asher a few minutes ago. He's going to get me a person to work with so that we can do the initial prep work and then the cut over. I also spoke with Voxo. Harley and Cameron are the ones working this phone cut. They seem to be ready to go. Need to wait for Asher to call me back. He's going to try to get some name Jose to work with me or he's going to work with me himself.,2025-06-26 20:27:33.435799,manual,2025-06-26 20:27:33.435799,2025-06-26 20:27:33.435799
2,customer_001,6,Stan Gwin,I spoke with Asher a few minutes ago. He's going to get me a person to work with so that we can do the initial prep work and then the cut over. I also spoke with Voxo. Harley and Cameron are the ones working this phone cut. They seem to be ready to go. Need to wait for Asher to call me back. He's going to try to get some name Jose to work with me or he's going to work with me himself.,2025-06-26 20:34:36.87052,manual,2025-06-26 20:34:36.87052,2025-06-26 20:34:36.87052
6,customer_001,6,Stan Gwin,From Harley Moorman at Voxo regarding new phone service there --I am installing My Pharmacist on Call right now. Going very well with Manual. He mentioned to me about the firewall and said he will look into setting it up after the phone install.,2025-06-27 17:07:33.935096,manual,2025-06-27 17:07:33.935096,2025-06-27 17:07:33.935096
10,customer_001,6,Stan Gwin,"I continue to try to communicate with Asher his associate and other people to try to get somebody on site to install the firewall. I get no response except every now and then I get a promise that somebody will help me. I caught wind that Asher was upset with Voxo this past weekend about something. I just tried to call Asher again after he texted the other day and I had responded to his text and got no response back. He answered the phone when I called told me he was in a meeting and on the phone with his wife and he just answered the phone because he thought it was me calling and that he was very confused about why I was taking so long to get this set up. He said he would text or call me later. At this point, we either need to get some movement on their end, agree that he wants to pay somebody else to come in and install the device for him, or we need to agree to not do business together.",2025-07-11 16:22:53.478921,manual,2025-07-11 16:22:53.478921,2025-07-11 16:22:53.478921
25,customer_001,6,System,"🤖 System: Next step updated from ""Schedule Install"" to ""Perform Install and Test"" (triggered by Stan Gwin)",2025-07-12 00:08:54.245392,system,2025-07-12 00:08:54.245392,2025-07-12 00:08:54.245392
72,customer_001,6,Stan Gwin,"Email today sent to Asher -- Hi Asher,

I appreciate the time and effort you’ve invested as we’ve tried to move this project forward. It’s clear that you’re highly focused on your business — as you should be — and I respect that.
At this point, I think it’s best to acknowledge that our approach may not be the right fit for your needs. I don’t want to add any further complexity or frustration to your already full plate, and I believe that me stepping back is the most respectful path for both of us.
We’ve both worked toward an affordable self-installation model rather than a more costly turnkey or white-glove approach. While we’ve each made a genuine effort to make that work, it seems our processes may not fully align with that direction — and that’s perfectly okay.
If you’d like to return the equipment, you’re welcome to do so — and we’ll consider the matter closed with no further obligation. If you’d prefer to keep the hardware and licensing, just let me know and I’ll send over an invoice.
I genuinely appreciate the opportunity and wish you the best in all your endeavors.
Kindest regards,

Stan


Stan G. Gwin
601.408.9199
www.vantix.tech",2025-07-16 17:14:04.748874,manual,2025-07-16 17:14:04.748874,2025-07-16 17:14:04.748874
48,customer_002,,Legacy User,Per call with Sally on 6/5/2025 -- Hardware is on site.,2025-06-23 21:00:00,manual,2025-06-23 21:00:00,2025-07-14 14:24:24.340897
47,customer_002,,Legacy User,"Installation Date: June 11, 2025",2025-06-23 21:00:00,manual,2025-06-23 21:00:00,2025-07-14 14:24:24.340897
12,customer_002,6,System,"🤖 System: Status changed from ""Onboarding"" to ""Active"" (triggered by Stan Gwin)",2025-07-12 00:02:19.165785,system,2025-07-12 00:02:19.165785,2025-07-12 00:02:19.165785
13,customer_002,6,System,"🤖 System: Next step updated from ""Perform Install"" to ""Place in Billing"" (triggered by Stan Gwin)",2025-07-12 00:02:25.470082,system,2025-07-12 00:02:25.470082,2025-07-12 00:02:25.470082
38,customer_002,6,System,"🤖 System: Next step updated from ""Place in Billing"" to ""Support"" (triggered by Stan Gwin)",2025-07-12 01:54:09.40374,system,2025-07-12 01:54:09.40374,2025-07-12 01:54:09.40374
73,customer_002,6,System,"🤖 System: Status changed from ""Active"" to ""Onboarding"" (triggered by Stan Gwin)",2025-07-16 17:15:10.794896,system,2025-07-16 17:15:10.794896,2025-07-16 17:15:10.794896
74,customer_002,6,System,"🤖 System: Next step updated from ""Support"" to ""Place in Billing"" (triggered by Stan Gwin)",2025-07-16 17:15:16.088824,system,2025-07-16 17:15:16.088824,2025-07-16 17:15:16.088824
87,customer_002,6,System,"🤖 System: Next step due date set to ""2025-07-25"" (triggered by Stan Gwin)",2025-07-17 14:51:20.743095,system,2025-07-17 14:51:20.743095,2025-07-17 14:51:20.743095
98,customer_002,6,System,"🤖 System: Next step due date set to ""2025-07-25"" (triggered by Stan Gwin)",2025-07-22 15:18:02.116322,system,2025-07-22 15:18:02.116322,2025-07-22 15:18:02.116322
115,customer_002,6,System,"🤖 System: Next step due date set to ""2025-07-25"" (triggered by Stan Gwin)",2025-07-23 02:57:29.470048,system,2025-07-23 02:57:29.470048,2025-07-23 02:57:29.470048
119,customer_002,4,System,"🤖 System: Next step due date set to ""2025-07-22"" (triggered by Test User)",2025-07-23 03:34:05.091499,system,2025-07-23 03:34:05.091499,2025-07-23 03:34:05.091499
120,customer_002,4,System,"🤖 System: Next step due date updated from ""2025-07-22"" to ""2025-07-24"" (triggered by Test User)",2025-07-23 03:34:05.995348,system,2025-07-23 03:34:05.995348,2025-07-23 03:34:05.995348
128,customer_002,6,System,"🤖 System: Next step due date set to ""2025-07-30"" (triggered by Stan Gwin)",2025-07-25 02:46:41.361886,system,2025-07-25 02:46:41.361886,2025-07-25 02:46:41.361886
